2017-07-28 10:42:31: 	{"query": "打开车灯", "uid": "222"}

2017-07-30 08:59:51: 	{"query": "后备箱怎么关", "uid": "222"}

2017-07-30 08:59:52: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 08:59:52: 	{"query": "后备箱怎么关", "uid": "222"}

2017-07-30 08:59:52: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:01:36: 	{"query": "后备箱怎么关", "uid": "222"}

2017-07-30 09:01:36: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:05:35: 	{"query": "后备箱怎么关", "uid": "222"}

2017-07-30 09:05:35: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:13:21: 	{"query": "后备箱怎么关", "uid": "222"}

2017-07-30 09:13:21: 	{"semantic": {"slots": {"part": "掀背门", "property": "", "condition": "", "operate": "关闭"}}, "text": "后备箱怎么关", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["遥控钥匙", "仪表台按键", "无钥匙系统", "自动感应"], "uplist": ["遥控钥匙", "仪表台按键", "无钥匙系统", "自动感应"], "title": "请选择操作方式"}}}

2017-07-30 09:13:29: 	{"query": "遥控钥匙", "uid": "222"}

2017-07-30 09:13:29: 	{"semantic": {"slots": {"part": "掀背门", "property": "", "condition": "遥控钥匙", "operate": "关闭"}}, "text": "遥控钥匙", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "", "method": "在有效范围内，按下智能遥控钥匙上的按键约2秒，电动掀背门会自动下降直到吸合关闭；在关闭过程中，如再次按该按键，电动掀背门会停止。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:14:15: 	{"query": "后备箱怎么打开 ", "uid": "222"}

2017-07-30 09:14:15: 	{"semantic": {"slots": {"part": "掀背门", "property": "", "condition": "", "operate": "开启"}}, "text": "后备箱怎么打开", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["遥控钥匙", "仪表台按键", "无钥匙系统", "自动感应"], "uplist": ["遥控钥匙", "仪表台按键", "无钥匙系统", "自动感应"], "title": "请选择操作方式"}}}

2017-07-30 09:14:21: 	{"query": "遥控钥匙 ", "uid": "222"}

2017-07-30 09:14:21: 	{"semantic": {"slots": {"part": "掀背门", "property": "", "condition": "遥控钥匙", "operate": "开启"}}, "text": "遥控钥匙", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "", "method": "在有效范围内，长按掀背门解锁键大于两秒，可解锁掀背门。配置电动掀背门的车型，在掀背门电动打开过程中，短按该按键，可暂停掀背门打开。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:14:30: 	{"query": "后备箱怎么感应打开  ", "uid": "222"}

2017-07-30 09:14:30: 	{"semantic": {"slots": {"part": "掀背门", "property": "", "condition": "自动感应", "operate": "开启"}}, "text": "后备箱怎么感应打开", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "", "method": "当启动开关在“OFF”挡位且四门关闭时，携带智能遥控钥匙，走进掀背门感应区域，离掀背门约0.5米时，喇叭响一声，同时转向灯开始闪烁，如果保持位置不动，或后退不超过1米，3.2秒后掀背门自动开启。如果听到喇叭声，3.2秒内离开掀背门感应区域或按智能遥控锁匙上掀背门开启键，可暂时停止该功能。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:14:42: 	{"query": "后备箱开启高度怎么设置  ", "uid": "222"}

2017-07-30 09:14:43: 	{"semantic": {"slots": {"part": "掀背门", "property": "高度", "condition": "", "operate": "设置"}}, "text": "后备箱开启高度怎么设置", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "", "method": "开启掀背门到想要设定的高度位置后停止，长按掀背门关闭按键2~5秒内松开，高度设定成功。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:15:38: 	{"query": "怎么用遥控钥匙开后备箱  ", "uid": "222"}

2017-07-30 09:15:38: 	{"semantic": {"slots": {"part": "遥控钥匙", "property": "", "operate": ""}}, "text": "怎么用遥控钥匙开后备箱", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g09.png", "method": "沿箭头A方向拨开关，同时沿-箭头B-方向拉出应急机械钥匙。–使用微型一字螺丝刀1在箭头位置撬开智能遥控钥匙外壳。用手指沿箭头方向按压电池，取出智能遥控钥匙电池1。按照相反步骤安装好智能遥控钥匙。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:19:11: 	{"query": "怎么用遥控钥匙开后备箱", "uid": "222"}

2017-07-30 09:19:11: 	{"semantic": {"slots": {"part": "遥控钥匙", "property": "", "operate": ""}}, "text": "怎么用遥控钥匙开后备箱", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g09.png", "method": "沿箭头A方向拨开关，同时沿-箭头B-方向拉出应急机械钥匙。–使用微型一字螺丝刀1在箭头位置撬开智能遥控钥匙外壳。用手指沿箭头方向按压电池，取出智能遥控钥匙电池1。按照相反步骤安装好智能遥控钥匙。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:19:25: 	{"query": "里程怎么归零", "uid": "222"}

2017-07-30 09:19:26: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:19:59: 	{"query": "里程怎么归零", "uid": "222"}

2017-07-30 09:20:00: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:21:34: 	{"query": "里程怎么归零", "uid": "222"}

2017-07-30 09:21:34: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:22:17: 	{"query": "里程怎么归零", "uid": "222"}

2017-07-30 09:22:18: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:24:15: 	{"query": "里程怎么归零", "uid": "222"}

2017-07-30 09:24:15: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:26:37: 	{"query": "里程怎么归零", "uid": "222"}

2017-07-30 09:26:37: 	{"semantic": {"slots": {}}, "text": "", "rc": 0, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:29:24: 	{"query": "怎么调节音量", "uid": "222"}

2017-07-30 09:29:24: 	{"semantic": {"slots": {}}, "text": "", "rc": 4, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "error": "none auto", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:30:04: 	{"query": "怎么调节音量", "uid": "222"}

2017-07-30 09:30:04: 	{"semantic": {"slots": {}}, "text": "", "rc": 4, "topic": "", "answer": {"state": 0, "result": {}}, "intent": "", "error": "none auto", "sc": 0, "data": {"result": {"list": ["怎么调节安全带高度", "怎么调节空调温度", "如何提高巡航车速", "节气门多长时间需要清洗", "车辆使用多长时间需要换刹车片", "机油机滤（小保养）的作用", "汽滤有什么作用", "不按周期更换空滤有什么隐患", "座椅通风失灵怎么回事", "踩油门变速箱明显抖动", "急刹车有咔咔的响", "人保车险的客服电话是多少", "太平洋车险购买车险的电话是多少", "平安车险保费计算网址是什么", "交强险投保金额是多少", "什么是车损险", "车损险赔付限额是否累加计算", "车身划痕险免赔率是多少"]}}}

2017-07-30 09:31:12: 	{"query": "机械钥匙怎么更换电池", "uid": "222"}

2017-07-30 09:31:12: 	{"semantic": {"slots": {"part": "机械钥匙", "operate": ""}}, "text": "机械钥匙怎么更换电池", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g20.png", "method": "1、沿 箭头 A 方向拨开关，同时沿箭头B 方向拉出应急机械钥匙。
2、将应急机械钥匙插入驾驶员侧车门锁孔，可上锁所有车门；解锁驾驶员侧车门"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:32:00: 	{"query": "仪表盘显示信息怎么调", "uid": "222"}

2017-07-30 09:32:00: 	{"semantic": {"slots": {"qid": "", "qid_list": [762, 878]}}, "text": "仪表盘显示信息怎么调", "rc": 0, "topic": "qa", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["撞车后被撞的证件信息有问题怎么办", "撞车后被撞的证件信息有问题怎么办"], "uplist": [762, 878], "title": "请选择您想咨询问题"}}}

2017-07-30 09:33:10: 	{"query": "仪表盘显示信息怎么调", "uid": "222"}

2017-07-30 09:33:10: 	{"semantic": {"slots": {"qid": "", "qid_list": [762, 878]}}, "text": "仪表盘显示信息怎么调", "rc": 0, "topic": "qa", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["撞车后被撞的证件信息有问题怎么办", "撞车后被撞的证件信息有问题怎么办"], "uplist": [762, 878], "title": "请选择您想咨询问题"}}}

2017-07-30 09:33:11: 	{"query": "仪表盘显示信息怎么调", "uid": "222"}

2017-07-30 09:33:11: 	{"semantic": {"slots": {"qid": "", "qid_list": [762, 878]}}, "text": "仪表盘显示信息怎么调", "rc": 0, "topic": "qa", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["撞车后被撞的证件信息有问题怎么办", "撞车后被撞的证件信息有问题怎么办"], "uplist": [762, 878], "title": "请选择您想咨询问题"}}}

2017-07-30 09:42:57: 	{"query": "怎么用音响面板开启智能语音", "uid": "222"}

2017-07-30 09:42:58: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["方向盘", "音响面板"], "uplist": ["方向盘", "音响面板"], "title": "请选择操作方式"}}}

2017-07-30 09:43:03: 	{"query": "方向盘", "uid": "222"}

2017-07-30 09:43:03: 	{"semantic": {"slots": {"part": "方向盘", "property": "", "operate": ""}}, "text": "方向盘", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "g01.png", "method": "1、向下推开锁止手柄。
2、上、下、前、后移动方向盘，调至合适位置，使方向盘正对驾驶员的前胸，确保能够看到仪表板上所有的仪表和指示灯，然后保持方向盘在该位置。
3、向上推锁止手柄，锁定方向盘。
4、上、下、前、后移动方向盘，确保其已牢固锁止。"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:43:34: 	{"query": "怎么用音响面板开启智能语音", "uid": "222"}

2017-07-30 09:43:34: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["方向盘", "音响面板"], "uplist": ["方向盘", "音响面板"], "title": "请选择操作方式"}}}

2017-07-30 09:44:04: 	{"query": "音响面板", "uid": "222"}

2017-07-30 09:44:04: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "音响面板", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:44:17: 	{"query": "怎么用音响面板开启智能语音", "uid": "222"}

2017-07-30 09:44:17: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:44:23: 	{"query": "怎么用音响面板开启智能语音", "uid": "222"}

2017-07-30 09:44:23: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:44:24: 	{"query": "怎么用音响面板开启智能语音", "uid": "222"}

2017-07-30 09:44:24: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:44:26: 	{"query": "怎么用音响面板开启智能语音", "uid": "222"}

2017-07-30 09:44:26: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:44:37: 	{"query": "怎么用音响面板开启智能语音", "uid": "222"}

2017-07-30 09:44:37: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:44:38: 	{"query": "怎么用音响面板开启智能语音", "uid": "222"}

2017-07-30 09:44:38: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:44:39: 	{"query": "怎么用音响面板开启智能语音", "uid": "222"}

2017-07-30 09:44:39: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:44:44: 	{"query": "怎么用音响面板开启智能语音", "uid": "2223333"}

2017-07-30 09:44:45: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["方向盘", "音响面板"], "uplist": ["方向盘", "音响面板"], "title": "请选择操作方式"}}}

2017-07-30 09:45:11: 	{"query": "怎么用音响面板开启智能语音", "uid": "2223333"}

2017-07-30 09:45:11: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:45:12: 	{"query": "怎么用音响面板开启智能语音", "uid": "2223333"}

2017-07-30 09:45:12: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:45:14: 	{"query": "怎么用音响面板开启智能语音", "uid": "2223333"}

2017-07-30 09:45:14: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:45:15: 	{"query": "怎么用音响面板开启智能语音", "uid": "2223333"}

2017-07-30 09:45:15: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:45:16: 	{"query": "怎么用音响面板开启智能语音", "uid": "2223333"}

2017-07-30 09:45:16: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:45:20: 	{"query": "怎么用音响面板开启智能语音", "uid": "2223333"}

2017-07-30 09:45:20: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:45:25: 	{"query": "怎么用音响面板开启智能语音", "uid": "333"}

2017-07-30 09:45:25: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["方向盘", "音响面板"], "uplist": ["方向盘", "音响面板"], "title": "请选择操作方式"}}}

2017-07-30 09:56:12: 	{"query": "怎么用音响面板开启智能语音", "uid": "333"}

2017-07-30 09:56:12: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 0, "result": {}}, "intent": "query", "sc": 1, "data": {"result": {"list": ["方向盘", "音响面板"], "uplist": ["方向盘", "音响面板"], "title": "请选择操作方式"}}}

2017-07-30 09:56:14: 	{"query": "怎么用音响面板开启智能语音", "uid": "333"}

2017-07-30 09:56:14: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:56:15: 	{"query": "怎么用音响面板开启智能语音", "uid": "333"}

2017-07-30 09:56:15: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:56:23: 	{"query": "怎么用音响面板开启智能语音", "uid": "333"}

2017-07-30 09:56:23: 	{"semantic": {"slots": {"function": "", "part": "音响", "condition": "音响面板", "operate": "静音"}}, "text": "怎么用音响面板开启智能语音", "rc": 0, "topic": "manual", "answer": {"state": 1, "result": {"image": "a989", "method": "1、短按此键10，媒体源静音、CarLife媒体静音。
2、长按此键10，媒体源静音、Carlife媒体静音、导航静音。
3、静音后再按下解除静音"}}, "intent": "query", "sc": 0, "data": {"result": {}}}

2017-07-30 09:56:24: 	{"query": "怎么用音响面板开启智能语音", "uid": "333"}

